n,p,Algorithm,weight,ratio,time,gap
1160,0.1,Greedy,5679.8,0.9792758620689653,0.14951097965240479,0.020724137931034482
1160,0.1,LAM,5665.8,0.9768620689655172,0.1377577304840088,0.023137931034482757
1160,0.1,Path-Growing,5657.5,0.9754310344827587,0.09790689945220947,0.02456896551724138
1160,0.1,Improved-Path,5676.6,0.9787241379310346,0.09051899909973145,0.02127586206896552
1160,0.1,Suitor,5652.9,0.9746379310344828,0.13135836124420167,0.025362068965517244
1260,0.1,Greedy,6183.1,0.9814444444444443,0.1773455858230591,0.018555555555555554
1260,0.1,LAM,6156.7,0.9772539682539684,0.16153898239135742,0.022746031746031743
1260,0.1,Path-Growing,6165.0,0.9785714285714286,0.11558592319488525,0.02142857142857143
1260,0.1,Improved-Path,6188.3,0.9822698412698412,0.10423533916473389,0.017730158730158728
1260,0.1,Suitor,6153.2,0.9766984126984127,0.15233612060546875,0.023301587301587302
1360,0.1,Greedy,6680.4,0.9824117647058823,0.2078777074813843,0.017588235294117648
1360,0.1,LAM,6661.7,0.9796617647058824,0.18650062084198,0.02033823529411765
1360,0.1,Path-Growing,6661.0,0.9795588235294117,0.12985737323760987,0.020441176470588233
1360,0.1,Improved-Path,6676.2,0.9817941176470587,0.1262814521789551,0.018205882352941176
1360,0.1,Suitor,6659.3,0.9793088235294117,0.25250213146209716,0.020691176470588237
1460,0.1,Greedy,7179.3,0.9834657534246574,0.23550763130187988,0.016534246575342464
1460,0.1,LAM,7159.4,0.9807397260273973,0.2099390983581543,0.01926027397260274
1460,0.1,Path-Growing,7155.7,0.9802328767123287,0.1525010347366333,0.01976712328767123
1460,0.1,Improved-Path,7177.0,0.9831506849315067,0.14191105365753173,0.016849315068493152
1460,0.1,Suitor,7156.4,0.9803287671232876,0.19893236160278321,0.019671232876712328
1560,0.1,Greedy,7679.4,0.9845384615384616,0.27848191261291505,0.01546153846153846
1560,0.1,LAM,7657.2,0.9816923076923079,0.2942819118499756,0.01830769230769231
1560,0.1,Path-Growing,7659.7,0.9820128205128205,0.17965314388275147,0.01798717948717949
1560,0.1,Improved-Path,7680.1,0.9846282051282051,0.16323790550231934,0.015371794871794872
1560,0.1,Suitor,7641.7,0.9797051282051281,0.22642290592193604,0.020294871794871792
1660,0.1,Greedy,8181.4,0.985710843373494,0.3219079732894897,0.014289156626506025
1660,0.1,LAM,8161.7,0.9833373493975903,0.2757663011550903,0.01666265060240964
